,Nombre
0,['Vail']
1,['Telluride']
2,['Beaver Creek']
3,['Snowmass']
4,['Mammoth Mountain']
5,['Breckenridge']
6,['Keystone']
7,['Palisades Tahoe']
8,['Killington']
9,['Sunday River']
10,['Winter Park Resort']
11,['Stowe']
12,"['Heavenly', 'of Heavenly']"
13,['Park City']
14,['Steamboat']
15,['Big Sky Resort']
16,['Aspen Highlands']
17,['Alpine Meadows']
18,['Copper Mountain']
19,[]
20,['Buttermilk Mountain']
21,['Jackson Hole']
22,[]
23,['Crested Butte']
24,['Powder Mountain']
25,['Northstar California Resort']
26,['Whiteface – Lake Placid']
27,['Mt. Bachelor']
28,['Yellowstone Club']
29,['Snowbird']
30,['Bald Mountain – Sun Valley']
31,['Schweitzer Mountain Resort']
32,['Arapahoe Basin']
33,['Mt. Hood Meadows']
34,['Stratton']
35,['Wenatchee – Mission Ridge']
36,['Taos']
37,['Aspen Mountain']
38,['Sierra at Tahoe']
39,['Homewood Mountain Resort']
40,['Whitefish Mountain Resort']
41,['Whitefish Mountain Resort']
42,['Wolf Creek']
43,['Sugarbush']
44,['Angel Fire']
45,['Sugarloaf']
46,['Okemo']
47,['Purgatory – Durango']
48,['Brighton']
49,['Mt. Baker']
50,['Sugar Bowl']
51,['Bolton Valley']
52,['Solitude']
53,['Jay Peak']
54,['Brian Head']
55,['Bretton Woods']
56,['Bear Valley']
57,['Red Lodge Mountain']
58,['Mount Snow']
59,"[""Smugglers' Notch""]"
60,['49 Degrees North Mountain Resort']
61,['Alyeska Resort – Girdwood']
62,['Mt. Rose']
63,['Bridger Bowl – Bozeman']
64,['Gore Mountain']
65,['Bogus Basin']
66,['Kirkwood']
67,['Crystal Mountain (WA)']
68,['Snowbasin']
69,['Loon Mountain']
70,['Timberline']
71,['Apache']
72,['Hunter Mountain']
73,['Tamarack Resort']
74,['Windham Mountain']
75,['Arizona Snowbowl']
76,['Mt. Hood Skibowl']
77,['Holiday Valley']
78,['Grand Targhee']
79,['Cannon Mountain']
80,['Stevens Pass']
81,['Lutsen Mountains']
82,['Eldora Mountain']
83,['Loveland']
84,['Powderhorn']
85,['White Pass']
86,['Pico Mountain']
87,['Lost Trail Powder Mountain']
88,['Sundance']
89,['China Peak']
90,['Discovery Ski Area']
91,['Mad River Glen']
92,['June Mountain']
93,['Gunstock']
94,['Donner Ski Ranch']
95,['Great Divide']
96,['Dodge Ridge']
97,['Attitash Mountain Resort']
98,['Cranmore Mountain Resort']
99,['Mt. Sunapee']
100,['Silver Mountain']
101,['Brundage Mountain']
102,['Bear Mountain – Big Bear Lake']
103,['Snowshoe Mountain']
104,['Ragged Mountain']
105,['Terry Peak']
106,['Granite Peak at Rib Mountain State Park']
107,['Santa Fé']
108,['Snow Valley']
109,['Wildcat Mountain']
110,['Beaver Mountain']
111,['Saddleback']
112,['Camelback']
113,['Waterville Valley']
114,['Willamette Pass – Crescent']
115,['Snow Summit – Big Bear Lake']
116,['Montana Snowbowl']
117,['Timberline Mountain']
118,['Lookout Pass']
119,['Belleayre Mountain']
120,['Mountain Creek – Vernon']
121,['The Summit at Snoqualmie']
122,['Haystack Mountain – The Hermitage Club']
123,['Sandia Peak']
124,['Bristol Mountain']
125,['Mt. Spokane']
126,['Monarch']
127,['Pats Peak']
128,['Wachusett Mountain']
129,['Boyne Highlands']
130,['Granby Ranch']
131,['Magic Mountain']
132,['Blue Mountain']
133,['Diamond Peak']
134,['Titus Mountain']
135,['Sugar Mountain']
136,['Maverick Mountain']
137,['Soldier Mountain']
138,['Boreal']
139,['Mountain High East']
140,['Cooper']
141,['Pebble Creek']
142,['Shawnee Peak']
143,['Mt. Baldy']
144,['Mt. Shasta Ski Park']
145,['Butternut']
146,['Sunlight Mountain']
147,['Holimont']
148,['Seven Springs']
149,['Cherry Peak']
150,['Red River']
151,['Showdown']
152,['Burke Mountain']
153,['Cascade Mountain']
154,['Nordic Valley']
155,['Eagle Point']
156,['Arctic Valley']
157,['Mountain High West']
158,['Greek Peak']
159,['Bigrock Mountain']
160,['Wintergreen Resort']
161,['Shawnee Mountain']
162,['Pine Creek']
163,['Wisp – McHenry (Deep Creek Lake)']
164,['Plattekill']
165,['Kissing Bridge']
166,['Eaglecrest – Juneau']
167,['Snowy Range']
168,['Blue Knob']
169,['Skiland – Mt. Aurora']
170,['Boyne Mountain']
171,['Labrador Mountain']
172,['Hoodoo Ski Area']
173,['Alpental']
174,['Snow King Mountain – Jackson']
175,['Giants Ridge']
176,"[""Nub's Nob Ski Area""]"
177,['Sipapu']
178,['Middlebury College Snow Bowl']
179,['Pomerelle']
180,['Berkshire East']
181,['Sleeping Giant']
182,['Catamount']
183,['Beech Mountain']
184,['Whitetail']
185,['Dollar Mountain – Sun Valley']
186,['Kelly Canyon']
187,['Mt. Ashland']
188,['Song Mountain']
189,['Shanty Creek Resorts – Schuss Mountain']
190,['Jiminy Peak']
191,['Crotched Mountain']
192,['Teton Pass']
193,['Loup Loup Ski Bowl']
194,['Caberfae Peaks']
195,['Mt. Kato']
196,['Bromley Mountain']
197,"[""Devil's Head""]"
198,['Big Powderhorn Mountain']
199,['Mt. Bohemia']
200,['Jack Frost Mountain']
201,['Bear Creek Mountain Resort']
202,['Tahoe Donner']
203,['Suicide Six']
204,['Whaleback']
205,['Meadowlark Ski Lodge']
206,['Swain']
