,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
0,160,80,60,20,5
1,137,47,70,20,
2,141,76,47,18,
3,107,50,49,7.8,
4,81,37,29,15,
5,35,11,21,3,
6,41.3,10,22.7,8.6,2.7
7,25,13,8,4,
8,50,15.8,18.3,15.9,11.2
9,39.9,16.8,18.8,4.3,10.1
10,40,20,15,5,
11,22,10,10,2,2
12,26.7,10.7,11.7,4.3,
13,21,14,6,1,
14,27.7,13.6,10.9,3.2,
15,25,12,10,3,
16,20.8,6.8,9.5,4.5,3.5
17,26.8,8.6,18.2,0,
18,22.3,18.8,3.5,0,
19,10,3,6,1,
20,15,14,1,0,
21,8.8,4.2,3.3,1.3,
22,10,8,2,0,
23,17,10,7,0,
24,10.4,5.4,4,1,6.3
25,7,4,3,0,
26,5,1,4,0,
27,7.6,4.1,2.5,1,
28,6.5,2.9,3.6,0,
29,5,3,2,0,
30,0.3,0.2,0.1,0,
31,1.8,1,0.8,0,
